Year,Events
1825:,"The Stockton and Darlington Railway, the first public railway in the world, is opened."
1825:,The Decembrist revolt.
1825–1828:,The Cisplatine War results in the independence of Uruguay.
1825:,Java War. (to 1830)
1826:,Samuel Morey patents the internal combustion engine.
1826–1828:,"After the final Russo-Persian War, the Persian Empire took back territory lost to Russia from the previous war."
1826:,Auspicious Incident; the end of Janissaries in the Ottoman Empire.
1827:,"Death of William Blake, Ludwig van Beethoven."
1828–1832:,Black War in Tasmania leads to the near extinction of the Tasmanian aborigines.
1829:,Johann Wolfgang von Goethe's Faust premieres.
1829:,First electric motor built.
1829:,"Robert Peel founds the Metropolitan Police Service, the first modern police force."
1829:,Treaty of Edirne (1829) following the Russo-Turkish War of 1828-1829.
1830:,Opening of the Liverpool and Manchester Railway.
1830:,The Church of Jesus Christ of Latter Day Saints is established on 6 April 1830.
1830:,U.S. Congress passes the Indian Removal Act which authorized the President to negotiate removal treaties with all native tribes living east of the Mississippi. This act led to the forced removal of several native tribes over the next few centuries.
1830:,"Anglo-Russian rivalry over Afghanistan, the Great Game, commences and concludes in 1895."
1830:,July Revolution in France.
1830:,The Belgian Revolution in the United Kingdom of the Netherlands led to the creation of Belgium.
1830:,"Greater Colombia dissolved and the nations of Colombia (including modern-day Panama), Ecuador, and Venezuela took its place."
1830:,November Uprising in Poland against Russia.
1830:,"End of the Diponegoro war. The whole area of Yogyakarta and Surakarta Manca nagara Dutch seized. 27 September, Klaten Agreement determines a fixed boundary between Surakarta and Yogyakarta and permanently divide the kingdom of Mataram was signed by Sasradiningrat, Pepatih Dalem Surakarta, and Danurejo, Pepatih Dalem Yogyakarta. Mataram is de facto and de jure controlled by the Dutch East Indies."
1831:,France invades and occupies Algeria.
1831:,"Ioannis Kapodistrias, the First Governor of Greece is murdered at Nauplion."
1831:,"The Belgian constitution is ratified and Leopold I is crowned as first ""King of the Belgians""."
1831:,Great Bosnian uprising against Ottoman rule occurs.
1831–1836:,Charles Darwin's journey aboard HMS Beagle.
1831:,"Chief John Ross of the Cherokee Nation defends Cherokee rights and sovereignty in the U.S Supreme Court case The Cherokee Nation v. The State of Georgia[6]  Emigrants leaving Ireland. From 1830 to 1914, almost 5 million Irish people went to the United States alone."
